Service,Frequency
udp/53056,26
udp/48576,26
udp/56884,26
IRC,26
udp/59996,26
udp/19231,26
udp/64690,26
udp/33090,26
udp/62118,26
udp/20162,26
udp/58566,26
udp/30298,26
udp/26438,24
udp/64210,24
udp/57075,24
udp/5465,24
udp/63032,24
udp/5950,24
Fuze-Fuze,24
udp/14465,24
udp/54782,24
udp/58646,24
udp/33580,24
udp/42479,24
udp/28002,24
udp/35478,24
tcp/9090,24
tcp/999,24
tcp/20340,24
udp/60233,24
udp/62422,24
Oracle-ICMP,24
udp/62473,24
Dell-ICMP,24
Tally-Tally.ERP,24
udp/58318,24
tcp/34550,24
tcp/5224,24
udp/60686,24
udp/50263,24
tcp/27533,24
udp/65138,24
udp/15588,24
tcp/65535,24
tcp/9999,24
udp/34393,24
tcp/981,24
udp/62297,24
tcp/1945,24
udp/53109,24
Amazon-Twitch,24
udp/28908,24
tcp/8090,24
tcp/9481,24
udp/63193,24
udp/15152,24
tcp/46216,24
udp/48045,24
udp/8545,24
udp/62212,24
udp/51246,24
udp/36229,24
udp/18682,24
udp/53459,24
udp/55087,24
tcp/13470,24
udp/54766,24
udp/60020,24
udp/58904,24
Yahoo-NetBIOS.Session.Service,24
Cloudflare-LDAP,24
VNC,24
udp/54014,24
udp/50183,24
udp/57782,22
tcp/61669,22
udp/55990,22
udp/64274,22
udp/42810,22
udp/25598,22
Yahoo-Other,22
udp/42491,22
udp/46389,22
udp/63523,22
udp/54280,22
udp/62073,22
udp/59231,22
udp/37284,22
udp/59871,22
udp/40182,22
udp/51818,22
SCCP,22
tcp/8011,22
udp/49153,22
Meta-Other,22
udp/15129,22
udp/62377,22
udp/8082,22
udp/62944,22
udp/61599,22
udp/50826,22
tcp/8001,22
udp/50102,22
tcp/17704,22
udp/53654,22
udp/43487,22
udp/62117,22
udp/32695,22
udp/12633,22
udp/36831,22
udp/28711,22
udp/58649,22
Qualys-Qualys.Cloud.Platform,22
udp/8621,22
udp/6604,22
udp/50585,22
udp/49215,22
udp/54979,22
udp/8999,22
udp/55139,22
udp/62241,22
udp/62119,22
udp/60544,22
udp/57565,22
udp/45656,22
tcp/52425,22
udp/51834,22
udp/57419,22
udp/63212,22
udp/34291,22
udp/55170,22
udp/60037,22
udp/52593,22
Workday-NetBIOS.Session.Service,22
udp/20587,22
Anaplan-NetBIOS.Session.Service,22
udp/61926,22
udp/48847,22
udp/60992,22
udp/52665,22
udp/54514,20
udp/64286,20
udp/41441,20
udp/36192,20
udp/53512,20
udp/53705,20
tcp/7423,20
udp/50377,20
udp/15929,20
udp/46250,20
udp/43229,20
tcp/8022,20
tcp/950,20
RedShield-RedShield.Cloud,20
Kaspersky-NetBIOS.Session.Service,20
tcp/1951,20
tcp/1978,20
udp/28015,20
udp/42840,20
udp/24967,20
udp/63974,20
udp/51609,20
tcp/34615,20
tcp/7443,20
udp/37816,20
udp/51185,20
SQUID,20
udp/55601,20
udp/33662,20
udp/38261,20
udp/36616,20
udp/26030,20
udp/54874,20
udp/60362,20
tcp/4840,20
udp/49556,20
udp/34658,20
tcp/34564,20
udp/49581,20
udp/37947,20
udp/43510,20
udp/58154,20
udp/14897,20
tcp/11743,20
udp/57522,20
udp/48248,20
udp/64258,20
udp/40240,20
udp/26724,20
udp/50309,20
udp/50735,20
udp/40002,20
tcp/3385,20
udp/18904,20
udp/8124,20
tcp/39127,20
tcp/64333,20
udp/56812,20
udp/38803,20
tcp/974,20
tcp/1952,20
udp/64772,20
udp/60183,20
udp/60947,20
udp/46582,20
udp/57236,20
udp/30559,20
udp/40075,20
udp/38622,20
tcp/65167,20
udp/54830,20
udp/63971,20
tcp/81,20
udp/28005,20
udp/39759,20
Ahrefs-AhrefsBot,20
tcp/9451,20
tcp/2978,20
udp/62090,20
udp/39802,20
udp/38101,20
tcp/7106,20
udp/60419,20
tcp/29120,20
tcp/45073,20
udp/49311,20
tcp/42175,20
tcp/64798,20
udp/42701,20
udp/44491,20
udp/18020,20
tcp/57183,20
tcp/57181,20
udp/61283,20
udp/58286,20
udp/56736,20
udp/62526,20
udp/6686,20
udp/61373,20
Azion-Azion.Platform,20
tcp/37843,20
tcp/34235,20
udp/53904,20
udp/37557,20
udp/23917,20
udp/35731,20
udp/50114,20
tcp/1025,20
tcp/57360,20
Twilio-NetBIOS.Session.Service,20
tcp/1957,20
tcp/9457,20
tcp/23007,20
Amanah-Amanah.Hosting.Service,20
udp/34665,20
udp/37457,20
tcp/54890,20
tcp/44143,20
tcp/10958,20
tcp/24069,20
udp/60282,20
udp/22843,20
udp/59327,20
tcp/2945,20
udp/49235,20
udp/62186,20
udp/50517,20
udp/62330,20
tcp/9456,20
udp/50004,20
udp/56444,20
udp/65391,20
udp/57331,20
tcp/9092,20
GOPHER,18
udp/21930,18
udp/21302,18
udp/57153,18
udp/50187,18
udp/54168,18
udp/48074,18
tcp/5986,18
udp/36012,18
udp/65408,18
udp/64049,18
udp/58834,18
tcp/3388,18
udp/61861,18
udp/29156,18
udp/50375,18
udp/50071,18
udp/55133,18
udp/54217,18
udp/51029,18
udp/46365,18
udp/17325,18
udp/46931,18
AOL-Other,18
udp/50542,18
udp/61237,18
udp/58197,18
udp/56525,18
udp/34539,18
udp/60174,18
udp/45989,18
udp/49676,18
udp/6683,18
udp/35434,18
udp/49800,18
tcp/11031,18
udp/41323,18
udp/62591,18
udp/62981,18
udp/64034,18
udp/63200,18
udp/21440,18
udp/40012,18
udp/53460,18
udp/55760,18
udp/57368,18
udp/11617,18
udp/51164,18
udp/54724,18
udp/29182,18
udp/51548,18
tcp/27017,18
udp/30592,18
udp/56882,18
udp/42586,18
udp/36369,18
udp/24071,18
udp/39008,18
udp/41294,18
udp/64136,18
udp/26262,18
udp/65189,18
udp/55494,18
udp/56306,18
udp/59212,18
udp/10348,18
udp/23459,18
tcp/6443,18
udp/21663,18
udp/37679,18
udp/51258,18
udp/43163,18
udp/34027,18
udp/28063,18
udp/59108,18
udp/49717,18
udp/63671,18
udp/64235,18
udp/61307,18
udp/44757,18
udp/21178,18
udp/50126,18
udp/30072,18
udp/51439,18
udp/15452,18
tcp/2004,18
udp/51875,18
udp/59948,18
udp/14738,18
udp/56517,18
udp/6044,18
udp/28328,18
udp/55751,18
udp/12748,18
udp/54618,18
udp/41834,18
udp/53552,18
udp/32234,18
udp/22705,18
udp/62816,18
udp/45678,18
SERVERD-SERVERD.Hosting.Service,18
udp/58465,18
udp/49880,18
udp/46000,18
tcp/44325,18
udp/51443,18
udp/46733,18
udp/61784,18
tcp/34562,18
udp/61826,18
udp/21912,18
udp/50633,18
udp/63158,18
udp/50278,18
tcp/1911,18
tcp/441,18
udp/49312,18
udp/5080,18
tcp/40000,18
udp/61273,18
tcp/3390,18
tcp/5050,18
udp/58663,18
udp/42876,18
udp/26643,18
udp/37046,18
udp/50507,18
udp/21441,18
udp/11542,18
tcp/5007,18
udp/32200,18
udp/54080,18
udp/49147,18
udp/59507,18
udp/39809,18
udp/63786,18
udp/57342,18
udp/12152,18
udp/17378,18
udp/8998,18
udp/59422,18
udp/53030,18
udp/35910,18
udp/57625,18
udp/56020,18
udp/57749,18
udp/10336,18
udp/62845,18
udp/5783,18
udp/57572,18
udp/64709,18
tcp/5800,18
udp/63161,18
udp/55055,18
udp/63900,16
tcp/4937,16
udp/33952,16
udp/62255,16
udp/26954,16
tcp/1961,16
udp/37287,16
tcp/17953,16
udp/52577,16
udp/52825,16
udp/62152,16
tcp/9042,16
udp/49517,16
udp/55276,16
udp/54452,16
udp/45261,16
udp/54256,16
udp/58376,16
tcp/1846,16
udp/47904,16
udp/55871,16
udp/56721,16
udp/52385,16
udp/49739,16
udp/49403,16
udp/49664,16
tcp/502,16
udp/56633,16
udp/37811,16
udp/52703,16
udp/60283,16
udp/48197,16
udp/49796,16
udp/50525,16
udp/54710,16
udp/38063,16
udp/52876,16
udp/33044,16
udp/54388,16
udp/59578,16
udp/49076,16
tcp/10440,16
udp/61514,16
udp/33041,16
udp/62023,16
tcp/444,16
udp/46103,16
udp/8518,16
udp/51977,16
udp/46460,16
udp/39986,16
udp/36629,16
udp/51521,16
tcp/44818,16
udp/57356,16
udp/36371,16
udp/55705,16
udp/46538,16
udp/56855,16
udp/61847,16
udp/53519,16
tcp/1967,16
udp/6341,16
tcp/2376,16
udp/50425,16
udp/56627,16
udp/22399,16
udp/49624,16
udp/37148,16
udp/18707,16
udp/38260,16
udp/37005,16
udp/41166,16
udp/32877,16
udp/44119,16
udp/57528,16
udp/56594,16
udp/42585,16
udp/56369,16
udp/40856,16
udp/12582,16
udp/54632,16
udp/52589,16
udp/7310,16
udp/58958,16
udp/48657,16
udp/34822,16
udp/54633,16
udp/51199,16
udp/60449,16
udp/62104,16
udp/44130,16
udp/51941,16
udp/58550,16
udp/34830,16
udp/52150,16
tcp/62798,16
udp/38090,16
udp/11659,16
udp/23924,16
udp/58033,16
udp/44858,16
udp/44386,16
udp/49337,16
udp/27441,16
tcp/20443,16
udp/38245,16
udp/37669,16
udp/43679,16
udp/42924,16
udp/52280,16
udp/49978,16
udp/53096,16
udp/36245,16
udp/33698,16
udp/42524,16
udp/49467,16
udp/63780,16
udp/65010,16
udp/43494,16
udp/57117,16
udp/35936,16
udp/57216,16
udp/59119,16
udp/38507,16
udp/62030,16
udp/51565,16
udp/64889,16
udp/56664,16
udp/57323,16
udp/60722,16
udp/57377,16
udp/53061,16
udp/61718,16
udp/35889,16
udp/61097,16
udp/57455,16
udp/54530,16
tcp/6522,16
udp/10668,16
Blackbaud-NetBIOS.Session.Service,16
udp/60574,16
udp/24248,16
udp/27669,16
udp/53912,16
udp/28004,16
tcp/49585,16
udp/43159,16
udp/59209,16
tcp/33,16
udp/8401,16
udp/28593,16
udp/26953,16
udp/63403,16
udp/65333,16
udp/42979,16
udp/7759,16
udp/38367,16
udp/39915,16
udp/62646,16
udp/52325,16
udp/34792,16
udp/58214,16
udp/23826,16
udp/23838,16
udp/57713,16
udp/45815,16
udp/50918,16
udp/39588,16
udp/44322,16
udp/40744,16
udp/61703,16
udp/61686,16
udp/55626,16
udp/52645,16
udp/25282,16
udp/45050,16
tcp/8880,16
udp/60014,16
udp/64671,16
udp/34695,16
udp/62961,16
udp/53637,16
udp/63056,16
udp/48000,16
tcp/10000,16
udp/58845,16
udp/29410,16
udp/53073,16
udp/47154,16
udp/41528,16
ServiceNow-Web,16
udp/51120,16
udp/57646,16
udp/15240,16
udp/32796,16
udp/26150,16
tcp/3384,16
udp/44261,16
udp/64761,16
tcp/8010,14
udp/53723,14
tcp/50070,14
udp/58896,14
udp/52332,14
udp/59467,14
udp/64733,14
udp/49666,14
udp/51236,14
udp/27106,14
tcp/85,14
udp/24587,14
udp/42696,14
udp/39165,14
udp/39087,14
tcp/4369,14
udp/57176,14
LDAP_UDP,14
tcp/8808,14
udp/56814,14
udp/63386,14
tcp/17,14
Microsoft-Dynamics,14
udp/63995,14
udp/38931,14
udp/54353,14
udp/50844,14
udp/54321,14
udp/54000,14
udp/30492,14
udp/57179,14
udp/50528,14
udp/55168,14
udp/54364,14
udp/43241,14
udp/57853,14
udp/50547,14
udp/8000,14
tcp/40134,14
udp/40333,14
udp/50171,14
udp/60912,14
udp/40675,14
udp/53138,14
udp/42981,14
tcp/9997,14
udp/60698,14
udp/9845,14
udp/57037,14
udp/46744,14
udp/49538,14
udp/59742,14
udp/5470,14
udp/48959,14
udp/55472,14
udp/15256,14
udp/40599,14
udp/40592,14
udp/45451,14
udp/51860,14
udp/50501,14
udp/44742,14
udp/51568,14
udp/49246,14
IMAP,14
udp/61016,14
udp/11031,14
udp/53520,14
udp/15003,14
udp/15004,14
udp/15002,14
udp/15001,14
udp/56666,14
udp/64970,14
udp/62963,14
udp/42445,14
Shopify-NetBIOS.Session.Service,14
udp/59794,14
udp/38224,14
udp/60241,14
udp/38048,14
tcp/8082,14
udp/63544,14
udp/62006,14
udp/38686,14
udp/6158,14
udp/35419,14
udp/6250,14
udp/50396,14
tcp/8060,14
udp/30301,14
udp/57488,14
udp/48442,14
udp/62764,14
udp/62838,14
udp/5057,14
udp/53398,14
udp/53684,14
udp/60202,14
udp/50981,14
udp/16435,14
udp/35788,14
Kakao-Kakao.Services,14
udp/40516,14
udp/58756,14
udp/40527,14
udp/58894,14
udp/61544,14
udp/58361,14
udp/18655,14
udp/11964,14
udp/52241,14
udp/11211,14
udp/59540,14
udp/59538,14
tcp/109,14
udp/33633,14
udp/65177,14
udp/41363,14
tcp/2121,14
udp/49248,14
udp/41770,14
udp/54058,14
udp/58700,14
PC-Anywhere,14
udp/26134,14
udp/59820,14
udp/20225,14
udp/54656,14
udp/13409,14
udp/36691,14
tcp/5984,14
tcp/3500,14
udp/42217,14
udp/56015,14
udp/51647,14
udp/50063,14
tcp/8089,14
udp/50139,14
IMAPS,14
udp/54770,14
udp/59780,14
udp/55668,14
udp/44256,14
udp/52595,14
udp/65351,14
udp/39268,14
udp/10400,14
udp/63344,14
udp/18911,14
udp/56990,14
udp/56661,14
udp/26487,14
udp/45712,14
udp/58182,14
udp/27750,14
tcp/8032,14
udp/41980,14
udp/177,14
udp/35168,14
udp/57367,14
udp/62419,14
udp/56079,14
udp/56740,14
udp/57066,14
udp/53422,14
udp/53484,14
tcp/2018,14
udp/22860,14
udp/46754,14
udp/45351,14
Instart-CDN,14
udp/62715,14
udp/51187,14
udp/65205,14
tcp/8040,14
udp/55708,14
udp/65372,14
udp/51019,14
udp/57252,14
udp/55374,14
udp/61346,14
udp/65517,14
FINGER,14
udp/60308,14
udp/61095,14
udp/49904,14
udp/64578,14
udp/61013,14
udp/62223,14
udp/40260,14
udp/49671,14
udp/28816,14
udp/59263,14
udp/51538,14
tcp/1946,14
udp/53843,14
udp/51581,14
udp/52023,14
tcp/9051,14
udp/60272,14
udp/9467,14
udp/51559,14
udp/41880,12
udp/34858,12
udp/41224,12
udp/55978,12
udp/37810,12
tcp/8448,12
udp/57833,12
udp/61265,12
udp/56852,12
tcp/2956,12
udp/58665,12
XING-NetBIOS.Session.Service,12
udp/51728,12
udp/52138,12
udp/58184,12
udp/47070,12
udp/52790,12
udp/57299,12
udp/54424,12
udp/44521,12
udp/47419,12
udp/59783,12
udp/52016,12
udp/43858,12
tcp/37534,12
udp/35437,12
udp/51427,12
tcp/23000,12
udp/46588,12
udp/37670,12
udp/44372,12
udp/41931,12
tcp/7210,12
udp/59001,12
udp/43489,12
tcp/59027,12
tcp/8087,12
tcp/46595,12
udp/43662,12
udp/49334,12
udp/59610,12
tcp/2020,12
udp/37245,12
Snap-Snapchat,12
udp/56949,12
udp/34209,12
udp/46618,12
udp/62127,12
tcp/84,12
udp/44270,12
udp/52427,12
udp/48426,12
udp/49420,12
udp/8080,12
udp/46737,12
udp/34911,12
tcp/45853,12
udp/56784,12
tcp/4145,12
udp/53457,12
udp/41990,12
udp/40211,12
SentinelOne-SentinelOne.Cloud,12
udp/54700,12
udp/41958,12
tcp/33389,12
udp/58732,12
udp/48562,12
tcp/30005,12
udp/51881,12
tcp/2266,12
udp/33630,12
udp/43517,12
tcp/82,12
tcp/1883,12
udp/49766,12
udp/37126,12
udp/54508,12
udp/40869,12
udp/64982,12
udp/61419,12
udp/10658,12
udp/6407,12
udp/20073,12
udp/40566,12
udp/45538,12
udp/11295,12
udp/54723,12
udp/41295,12
udp/51436,12
udp/52578,12
udp/36022,12
tcp/777,12
tcp/66,12
udp/56697,12
udp/6464,12
tcp/2086,12
udp/49230,12
udp/55319,12
tcp/4499,12
udp/46508,12
udp/42624,12
udp/50091,12
udp/50952,12
udp/60297,12
udp/48762,12
tcp/1083,12
udp/51409,12
tcp/1106,12
udp/46965,12
udp/54227,12
udp/34541,12
udp/57776,12
udp/57691,12
udp/57493,12
udp/41924,12
tcp/2019,12
udp/35569,12
udp/33113,12
udp/57834,12
udp/49056,12
tcp/9445,12
udp/52286,12
udp/43173,12
udp/51281,12
udp/37020,12
udp/55488,12
udp/43750,12
udp/46509,12
udp/65120,12
udp/45709,12
udp/33810,12
udp/53407,12
udp/48520,12
udp/54828,12
udp/37851,12
udp/60254,12
tcp/5003,12
udp/41776,12
udp/35968,12
udp/42971,12
udp/39092,12
udp/41322,12
udp/60772,12
udp/58363,12
udp/36731,12
tcp/947,12
tcp/10801,12
udp/20766,12
udp/37261,12
udp/60536,12
udp/59073,12
udp/51494,12
udp/52118,12
udp/11036,12
udp/62700,12
tcp/2221,12
tcp/34568,12
tcp/11211,12
tcp/1990,12
Twitter-Outbound_Email,12
udp/50489,12
udp/60313,12
udp/34662,12
udp/45771,12
udp/45348,12
tcp/12322,12
udp/38298,12
udp/41819,12
udp/38037,12
udp/35398,12
udp/51453,12
udp/61221,12
tcp/4786,12
eBay-Outbound_Email,12
tcp/1810,12
udp/51566,12
udp/64116,12
udp/60033,12
tcp/1042,12
udp/60842,12
udp/41701,12
udp/60465,12
udp/38602,12
tcp/9008,12
udp/62045,12
RealNetworks-Web,12
udp/51817,12
udp/56398,12
udp/39002,12
udp/51808,12
tcp/10001,12
tcp/3000,12
udp/41987,12
udp/57015,12
udp/43382,12
udp/47500,12
udp/55092,12
udp/39720,12
udp/52928,12
udp/43253,12
udp/47191,12
tcp/22222,12
udp/51691,12
udp/35229,12
udp/60203,12
udp/11059,12
udp/59264,12
udp/56550,12
udp/53989,12
udp/51015,12
udp/43974,12
udp/54437,12
udp/41628,12
udp/44080,12
udp/53745,12
udp/28011,12
udp/42645,12
udp/46841,12
udp/23333,12
udp/52809,12
udp/42894,12
tcp/5938,12
udp/48760,12
tcp/55199,12
udp/44062,12
udp/43965,12
udp/29399,12
udp/46035,12
udp/47241,12
udp/51335,12
tcp/60342,12
tcp/4783,12
udp/50214,12
udp/43092,12
udp/51414,12
udp/58066,12
udp/57130,12
tcp/1122,12
udp/61803,12
tcp/9030,12
udp/36493,12
udp/60344,12
udp/39877,12
udp/39586,12
tcp/2525,12
tcp/873,12
udp/42937,12
udp/41646,12
tcp/42798,12
udp/35143,12
udp/35400,12
udp/40944,12
udp/34344,12
udp/64480,12
udp/56541,12
udp/49043,12
udp/37717,12
udp/44673,12
udp/58747,12
udp/51323,12
tcp/1026,12
udp/37971,12
udp/45345,12
udp/60800,12
udp/37247,12
udp/49415,12
tcp/33060,12
udp/55701,12
udp/49229,12
udp/41357,12
udp/59294,12
tcp/789,12
udp/53963,12
udp/48574,12
udp/7458,12
udp/42375,12
udp/46333,12
udp/53440,12
tcp/54820,12
udp/14875,12
udp/59266,12
udp/49438,12
udp/59296,12
udp/57198,12
udp/6888,12
udp/52974,12
udp/41423,12
udp/39151,12
udp/60565,12
tcp/646,12
udp/40674,12
udp/55585,12
udp/43638,12
udp/55236,12
tcp/9096,12
udp/53709,12
SolarWinds-SolarWinds.RMM,12
udp/50116,12
udp/59451,12
PPTP,12
udp/8174,12
udp/34524,12
udp/25825,12
udp/33681,12
udp/51981,12
udp/41642,12
udp/50673,12
tcp/222,12
udp/59504,12
udp/53724,12
udp/38627,12
udp/8752,12
tcp/30511,12
tcp/48375,12
udp/60695,12
udp/53189,12
udp/57631,12
udp/45595,12
udp/58692,10
udp/37459,10
udp/41943,10
udp/60516,10
udp/61505,10
udp/50514,10
udp/52416,10
tcp/46490,10
tcp/48028,10
tcp/44349,10
tcp/3317,10
udp/36389,10
udp/46145,10
udp/5106,10
tcp/9091,10
udp/36767,10
udp/46347,10
udp/55390,10
udp/37121,10
udp/59720,10
udp/52588,10
tcp/3269,10
udp/58288,10
udp/45452,10
udp/39584,10
tcp/34569,10
udp/47879,10
udp/51652,10
udp/60914,10
udp/33609,10
udp/39049,10
udp/55652,10
tcp/44479,10
tcp/42383,10
tcp/961,10
tcp/1956,10
tcp/47425,10
udp/58935,10
udp/44414,10
udp/57607,10
udp/43422,10
tcp/9990,10
udp/51046,10
udp/49852,10
udp/56193,10
udp/61289,10
udp/34907,10
udp/41413,10
tcp/61283,10
udp/51272,10
udp/42845,10
udp/49423,10
udp/34995,10
udp/53886,10
tcp/33074,10
udp/56781,10
udp/65492,10
udp/32817,10
tcp/45678,10
udp/32729,10
udp/33210,10
udp/47066,10
udp/33311,10
udp/47127,10
udp/54608,10
tcp/43524,10
tcp/43622,10
tcp/13222,10
tcp/36919,10
tcp/47900,10
udp/62025,10
tcp/42258,10
udp/39745,10
udp/39931,10
tcp/40821,10
tcp/39434,10
udp/52437,10
tcp/34581,10
tcp/48982,10
tcp/36224,10
tcp/35479,10
udp/39860,10
udp/38558,10
udp/33703,10
tcp/34645,10
udp/45880,10
udp/40827,10
tcp/35881,10
tcp/47871,10
tcp/29116,10
tcp/47078,10
tcp/54735,10
udp/35829,10
udp/58271,10
udp/43417,10
udp/48524,10
tcp/44569,10
tcp/25785,10
tcp/47045,10
tcp/18318,10
tcp/13013,10
tcp/38534,10
tcp/58918,10
tcp/43264,10
tcp/46382,10
tcp/48928,10
udp/32833,10
tcp/30543,10
udp/50390,10
udp/40864,10
udp/51214,10
udp/40059,10
udp/57183,10
udp/53830,10
udp/33186,10
tcp/60051,10
tcp/35054,10
tcp/47849,10
tcp/38135,10
Paychex-Web,10
tcp/5575,10
udp/36312,10
tcp/55366,10
tcp/34633,10
tcp/44261,10
tcp/40759,10
tcp/37855,10
udp/60732,10
udp/56250,10
udp/56601,10
tcp/1270,10
tcp/56853,10
tcp/38637,10
tcp/24569,10
tcp/46794,10
tcp/4662,10
udp/34735,10
tcp/16379,10
udp/51664,10
tcp/20346,10
udp/58155,10
udp/55038,10
udp/59895,10
tcp/34565,10
udp/37606,10
udp/37646,10
tcp/41013,10
tcp/47576,10
tcp/33545,10
udp/18800,10
udp/55805,10
udp/56940,10
udp/47405,10
udp/55465,10
udp/53111,10
udp/13280,10
tcp/41503,10
tcp/44278,10
tcp/46818,10
tcp/41883,10
tcp/11803,10
tcp/42435,10
udp/35017,10
udp/53686,10
tcp/4118,10
tcp/4445,10
udp/34123,10
tcp/44267,10
udp/47367,10
udp/37023,10
udp/45667,10
udp/58481,10
tcp/43505,10
tcp/33981,10
tcp/46378,10
tcp/60429,10
tcp/40624,10
tcp/46034,10
tcp/42052,10
tcp/41584,10
tcp/12014,10
udp/59718,10
udp/47243,10
tcp/40737,10
udp/58192,10
tcp/49168,10
udp/57661,10
udp/37127,10
tcp/48602,10
tcp/60582,10
tcp/31624,10
DocuSign-NetBIOS.Session.Service,10
tcp/5269,10
udp/36486,10
tcp/31653,10
tcp/39639,10
udp/42096,10
tcp/49346,10
tcp/13730,10
udp/47084,10
tcp/63344,10
udp/50798,10
tcp/5662,10
tcp/57642,10
tcp/42217,10
tcp/8006,10
udp/34477,10
udp/41802,10
udp/54599,10
tcp/12320,10
udp/56152,10
udp/58744,10
tcp/51630,10
tcp/14562,10
tcp/50236,10
tcp/57876,10
tcp/62578,10
tcp/42828,10
tcp/40660,10
tcp/44400,10
tcp/48302,10
tcp/46536,10
tcp/17564,10
tcp/60228,10
udp/55924,10
udp/34421,10
udp/47135,10
udp/41278,10
udp/43218,10
udp/37883,10
tcp/41993,10
udp/45242,10
udp/13178,10
tcp/46683,10
tcp/57282,10
tcp/47634,10
tcp/22037,10
tcp/33774,10
tcp/39399,10
tcp/60200,10
tcp/40595,10
tcp/24137,10
udp/52043,10
udp/64234,10
udp/53480,10
udp/47979,10
tcp/5904,10
tcp/58122,10
udp/46678,10
tcp/11288,10
tcp/28017,10
tcp/8159,10
udp/36602,10
L2TP,10
udp/63042,10
udp/41046,10
tcp/31538,10
tcp/35578,10
tcp/42934,10
tcp/26511,10
udp/51366,10
udp/33646,10
udp/23717,10
udp/48122,10
udp/39548,10
udp/39838,10
udp/45507,10
udp/47012,10
tcp/56681,10
tcp/35744,10
tcp/43459,10
tcp/51525,10
tcp/48503,10
udp/57804,10
udp/59053,10
udp/54866,10
udp/34725,10
udp/43806,10
tcp/18304,10
tcp/55660,10
tcp/1033,10
udp/49975,10
udp/58980,10
Dailymotion-NetBIOS.Session.Service,10
tcp/58136,10
tcp/54129,10
udp/56869,10
udp/31351,10
udp/59261,10
udp/53509,10
udp/47360,10
udp/34232,10
tcp/36882,10
udp/48746,10
udp/51835,10
tcp/40365,10
tcp/40859,10
tcp/31853,10
tcp/1029,10
tcp/39895,10
udp/51010,10
udp/35680,10
udp/39661,10
udp/56332,10
tcp/54399,10
udp/59955,10
udp/44428,10
Hulu-NetBIOS.Session.Service,10
tcp/57689,10
tcp/38133,10
tcp/51252,10
tcp/37588,10
tcp/41235,10
tcp/56664,10
udp/57453,10
udp/41251,10
udp/34073,10
udp/42463,10
udp/39307,10
udp/58571,10
tcp/6970,10
tcp/50420,10
tcp/38476,10
tcp/33541,10
tcp/11837,10
udp/29952,10
udp/56452,10
udp/38443,10
udp/49715,10
udp/43726,10
tcp/24424,10
tcp/42627,10
udp/41780,10
tcp/8660,10
tcp/15860,10
udp/51473,10
udp/34094,10
tcp/45746,10
udp/40672,10
udp/11396,10
udp/60963,10
tcp/39432,10
tcp/50754,10
tcp/45417,10
tcp/37439,10
tcp/38695,10
tcp/38168,10
udp/33003,10
tcp/3050,10
udp/39395,10
tcp/5672,10
udp/34766,10
udp/60434,10
udp/58016,10
udp/56001,10
udp/49117,10
udp/47519,10
tcp/40641,10
udp/36176,10
udp/29031,10
udp/56868,10
udp/48024,10
udp/41285,10
udp/51658,10
udp/52054,10
udp/39595,10
udp/50549,10
tcp/1111,10
udp/52608,10
udp/58205,10
tcp/8500,10
udp/46419,10
tcp/40163,10
tcp/42989,10
tcp/35590,10
udp/26319,10
tcp/40166,10
udp/33684,10
tcp/9089,10
tcp/9151,10
udp/59437,10
udp/38033,10
udp/36030,10
udp/60763,10
udp/53700,10
udp/44918,10
udp/35806,10
udp/39894,10
udp/44402,10
udp/60827,10
udp/40964,10
tcp/8079,10
udp/53234,10
udp/50694,10
tcp/6800,10
udp/38047,10
tcp/30000,10
udp/43213,10
udp/47808,10
tcp/56673,10
tcp/41141,10
udp/11027,10
udp/11030,10
udp/11029,10
udp/11034,10
udp/11033,10
udp/11028,10
udp/47178,10
udp/54515,10
udp/37958,10
udp/36028,10
tcp/39507,10
udp/38350,10
udp/49771,10
udp/57102,10
udp/48634,10
udp/58849,10
udp/37272,10
udp/40405,10
udp/51055,10
udp/48313,10
udp/53304,10
udp/56967,10
udp/53800,10
udp/60168,10
udp/42534,10
udp/47911,10
udp/54798,10
tcp/40031,10
tcp/41057,10
tcp/44772,10
tcp/49649,10
tcp/41947,10
tcp/47925,10
tcp/47519,10
tcp/36832,10
tcp/2461,10
tcp/56890,10
udp/45385,10
udp/60645,10
tcp/7574,10
udp/45688,10
udp/40620,10
udp/35640,10
Box-NetBIOS.Session.Service,10
udp/60219,10
udp/41572,10
tcp/102,10
udp/60177,10
udp/51383,10
udp/51958,10
udp/64611,10
udp/58183,10
udp/51459,10
udp/43037,10
tcp/16303,10
udp/50950,10
tcp/442,10
udp/50847,10
udp/58009,10
udp/55387,10
udp/53861,10
tcp/30877,10
udp/36989,10
udp/50197,10
tcp/46128,10
udp/57875,10
udp/57142,10
udp/37328,10
udp/49971,10
udp/36235,10
udp/57789,10
tcp/54618,10
tcp/45742,10
udp/57422,10
tcp/2006,10
udp/50848,10
udp/41265,10
udp/48067,10
udp/11037,10
udp/47591,10
udp/40540,10
tcp/10672,10
tcp/39140,10
tcp/46882,10
tcp/51541,10
tcp/52271,10
udp/39683,10
udp/38501,10
udp/33368,10
udp/54475,10
udp/41725,10
udp/56763,10
udp/57044,10
udp/23950,10
udp/54301,10
udp/25706,10
udp/53854,10
udp/47667,10
udp/45929,10
udp/56799,10
udp/58733,10
udp/47501,10
tcp/45080,10
udp/43460,10
tcp/8899,10
udp/51137,10
REXEC,10
udp/36236,10
udp/51191,10
udp/36043,10
udp/53049,10
udp/49950,10
udp/40781,10
